opening_name,line_count,eco_values,representative_pgn,representative_uci,raw_tactical_density,raw_quiet_position_density,raw_king_safety_risk,raw_early_castling_tendency,raw_opposite_side_castling_tendency,raw_middlegame_complexity,raw_pawn_structure_sharpness,raw_material_imbalance,raw_endgame_likelihood_proxy,raw_white_tactical_density,raw_white_quiet_position_density,raw_white_king_safety_risk,raw_white_early_castling_tendency,raw_white_opposite_side_castling_tendency,raw_white_middlegame_complexity,raw_white_pawn_structure_sharpness,raw_white_material_imbalance,raw_white_endgame_likelihood_proxy,raw_black_tactical_density,raw_black_quiet_position_density,raw_black_king_safety_risk,raw_black_early_castling_tendency,raw_black_opposite_side_castling_tendency,raw_black_middlegame_complexity,raw_black_pawn_structure_sharpness,raw_black_material_imbalance,raw_black_endgame_likelihood_proxy,tactical_density,quiet_position_density,king_safety_risk,early_castling_tendency,opposite_side_castling_tendency,middlegame_complexity,pawn_structure_sharpness,material_imbalance,endgame_likelihood_proxy,white_tactical_density,white_quiet_position_density,white_king_safety_risk,white_early_castling_tendency,white_opposite_side_castling_tendency,white_middlegame_complexity,white_pawn_structure_sharpness,white_material_imbalance,white_endgame_likelihood_proxy,black_tactical_density,black_quiet_position_density,black_king_safety_risk,black_early_castling_tendency,black_opposite_side_castling_tendency,black_middlegame_complexity,black_pawn_structure_sharpness,black_material_imbalance,black_endgame_likelihood_proxy,raw_final_structure_entropy,final_structure_entropy,raw_structure_diversity,structure_diversity,structure_distribution
Kangaroo Defense,2,A40,1. d4 e6 2. c4 Bb4+ 3. Nc3,d2d4 e7e6 c2c4 f8b4 b1c3,0.126954,0.995645,0.029,0.476666,0.187916,0.372535,0.05,0.0,0.599441,0.027906,0.996943,0.029,0.433333,0.187916,0.372535,0.0375,0.0,0.615123,0.103973,0.981392,0.023,0.52,0.187916,0.372535,0.0375,0.0,0.601672,0.598639,0.918367,0.578231,0.537415,0.721088,0.469388,0.251701,0.231293,0.401361,0.387755,0.945578,0.62585,0.302721,0.721088,0.469388,0.255102,0.231293,0.639456,0.591837,0.29932,0.180272,0.768707,0.721088,0.469388,0.258503,0.231293,0.394558,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
King's Gambit,1,C30,1. e4 e5 2. f4,e2e4 e7e5 f2f4,0.124091,0.984939,0.029,0.4225,0.3575,0.355195,0.3,0.02625,0.581288,0.06267,0.988864,0.029,0.4225,0.3575,0.355195,0.2875,0.05,0.591729,0.08517,0.988864,0.029,0.4225,0.3575,0.355195,0.2875,0.05,0.587904,0.591837,0.493197,0.578231,0.091837,0.880952,0.258503,0.87415,0.629252,0.272109,0.469388,0.530612,0.62585,0.146259,0.880952,0.258503,0.87415,0.622449,0.292517,0.517007,0.513605,0.690476,0.132653,0.880952,0.258503,0.863946,0.622449,0.231293,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
King's Gambit Accepted,5,C33,1. e4 e5 2. f4 exf4 3. Bc4 d5 4. Bxd5 c6,e2e4 e7e5 f2f4 e5f4 f1c4 d7d5 c4d5 c7c6,0.204636,0.986565,0.029,0.43225,0.2145,0.381536,0.23125,0.035,0.530826,0.176727,0.990662,0.029,0.442,0.2145,0.381536,0.15,0.1,0.542214,0.180893,0.986252,0.029,0.4225,0.2145,0.381536,0.25,0.1,0.531603,0.693878,0.57483,0.578231,0.234694,0.748299,0.564626,0.659864,0.785714,0.102041,0.761905,0.670068,0.62585,0.363946,0.748299,0.564626,0.605442,0.785714,0.102041,0.768707,0.346939,0.690476,0.132653,0.748299,0.564626,0.727891,0.785714,0.088435,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|1|0|0|2|2|0|1|1|0|0"":4,""0|0|0|1|0|0|2|2|0|1|2|0|0"":1}"
King's Gambit Declined,5,C30,1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 Bg4 5. fxe5 dxe5 6. Qa4+,e2e4 e7e5 f2f4 f8c5 g1f3 d7d6 c2c3 c8g4 f4e5 d6e5 d1a4,0.464667,0.742455,0.029,0.489667,0.154,0.419921,0.3,0.02625,0.559213,0.417867,0.718742,0.029,0.468,0.154,0.419921,0.2875,0.05,0.554747,0.331451,0.717043,0.025667,0.511333,0.154,0.419921,0.2875,0.05,0.558318,0.993197,0.006803,0.578231,0.605442,0.642857,0.877551,0.87415,0.629252,0.190476,0.993197,0.020408,0.62585,0.486395,0.642857,0.877551,0.87415,0.622449,0.163265,0.979592,0.0,0.408163,0.639456,0.642857,0.877551,0.863946,0.622449,0.14966,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":4,""0|0|0|0|0|0|2|2|0|1|1|0|1"":1}"
King's Indian Attack,5,A05,1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. d3 d5,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d3 d7d5,0.004364,0.995969,0.023,0.616,0.0,0.338663,0.05,0.0,0.618308,0.001994,0.997077,0.023,0.616,0.0,0.338663,0.0375,0.0,0.618711,0.001994,0.997077,0.023,0.616,0.0,0.338663,0.0375,0.0,0.618711,0.088435,0.959184,0.081633,0.938776,0.204082,0.129252,0.251701,0.231293,0.986395,0.006803,0.965986,0.176871,0.928571,0.204082,0.129252,0.255102,0.231293,0.986395,0.013605,0.979592,0.180272,0.928571,0.204082,0.129252,0.258503,0.231293,0.979592,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
"King's Indian Attack, with Bf5",5,A07,1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bf5 5. d3 h6 6. c4 dxc4,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 h7h6 c2c4 d5c4,0.01053,0.990143,0.023,0.76,0.0,0.381444,0.05,0.0,0.615567,0.003644,0.993122,0.0,1.0,0.0,0.381444,0.0375,0.0,0.620027,0.010163,0.991841,0.023,0.52,0.0,0.381444,0.0375,0.0,0.615455,0.217687,0.748299,0.081633,0.986395,0.204082,0.557823,0.251701,0.231293,0.755102,0.170068,0.802721,0.003401,0.996599,0.204082,0.557823,0.255102,0.231293,0.993197,0.258503,0.721088,0.180272,0.768707,0.204082,0.557823,0.258503,0.231293,0.673469,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|1|0|0|2|2|0|1|1|0|0"":1}"
"King's Indian Attack, with e6",2,A07,1. Nf3 Nf6 2. g3 d5 3. Bg2 e6 4. O-O Be7,g1f3 g8f6 g2g3 d7d5 f1g2 e7e6 e1g1 f8e7,0.001909,0.995934,0.023,0.68875,0.0,0.36264,0.05,0.0,0.618537,0.001388,0.997039,0.017,0.80875,0.0,0.36264,0.0375,0.0,0.620651,0.001388,0.997039,0.023,0.56875,0.0,0.36264,0.0375,0.0,0.618633,0.013605,0.952381,0.081633,0.972789,0.204082,0.319728,0.251701,0.231293,1.0,0.0,0.959184,0.034014,0.979592,0.204082,0.319728,0.255102,0.231293,1.0,0.0,0.972789,0.180272,0.911565,0.204082,0.319728,0.258503,0.231293,0.972789,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
King's Indian Defense,5,E60,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 O-O 5. e3 d6 6. Be2 c6,d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 e2e3 d7d6 f1e2 c7c6,0.004227,0.995864,0.029,0.5875,0.0,0.368002,0.05,0.0,0.617787,0.002751,0.996279,0.029,0.52,0.0,0.368002,0.0375,0.0,0.618015,0.002751,0.996279,0.023,0.655,0.0,0.368002,0.0375,0.0,0.618915,0.064626,0.935374,0.578231,0.918367,0.204082,0.387755,0.251701,0.231293,0.972789,0.119048,0.92517,0.62585,0.755102,0.204082,0.387755,0.255102,0.231293,0.959184,0.088435,0.938776,0.180272,0.962585,0.204082,0.387755,0.258503,0.231293,0.993197,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
King's Knight Opening,3,C40;C44,1. e4 e5 2. Nf3 Nc6 3. g3,e2e4 e7e5 g1f3 b8c6 g2g3,0.018242,0.984532,0.029,0.492917,0.275,0.363986,0.3,0.0,0.60304,0.008559,0.988415,0.023,0.52,0.275,0.363986,0.2875,0.0,0.604337,0.014767,0.988571,0.029,0.465833,0.275,0.363986,0.2875,0.0,0.604067,0.285714,0.459184,0.578231,0.619048,0.823129,0.346939,0.87415,0.231293,0.47619,0.29932,0.493197,0.176871,0.755102,0.823129,0.346939,0.87415,0.231293,0.44898,0.29932,0.482993,0.690476,0.442177,0.823129,0.346939,0.863946,0.231293,0.44898,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":3}"
King's Pawn Game,5,B00;B07;C20,1. e4 d6 2. d4 e5,e2e4 d7d6 d2d4 e7e5,0.009273,0.987379,0.029,0.43225,0.0,0.375233,0.3,0.0,0.602495,0.003931,0.990662,0.029,0.442,0.0,0.375233,0.2875,0.0,0.603492,0.003771,0.99156,0.029,0.4225,0.0,0.375233,0.2875,0.0,0.604117,0.193878,0.629252,0.578231,0.234694,0.204082,0.503401,0.87415,0.231293,0.455782,0.176871,0.670068,0.62585,0.363946,0.204082,0.503401,0.87415,0.231293,0.428571,0.166667,0.697279,0.690476,0.132653,0.204082,0.503401,0.863946,0.231293,0.455782,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1,""0|0|0|0|0|0|1|1|0|0|0|0|1"":4}"
King's Pawn Opening,3,C20,1. e4 e5 2. Qe2 Nc6 3. c3 Nf6 4. Nf3 Bc5 5. d4 exd4 6. cxd4 Nxd4,e2e4 e7e5 d1e2 b8c6 c2c3 g8f6 g1f3 f8c5 d2d4 e5d4 c3d4 c6d4,0.278485,0.98604,0.029,0.498333,0.1375,0.405546,0.3,0.030625,0.590709,0.232455,0.989053,0.029,0.476667,0.1375,0.405546,0.2875,0.075,0.579478,0.207397,0.989304,0.029,0.52,0.1375,0.405546,0.2875,0.075,0.601328,0.755102,0.557823,0.578231,0.670068,0.561224,0.768707,0.87415,0.72449,0.326531,0.823129,0.557823,0.62585,0.578231,0.561224,0.768707,0.87415,0.717687,0.210884,0.829932,0.537415,0.690476,0.768707,0.561224,0.768707,0.863946,0.717687,0.380952,0.57938,0.57938,0.57938,0.57938,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":2,""0|0|0|0|0|0|2|2|0|2|1|0|0"":1}"
Kádas Opening,5,A00,1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3,h2h4 d7d5 d2d4 c7c5 g1f3 c5d4 c2c3,0.096,0.994074,0.031667,0.423583,0.2145,0.347264,0.05,0.02625,0.616688,0.061407,0.99532,0.031667,0.424667,0.2145,0.347264,0.0375,0.05,0.616864,0.061407,0.99532,0.029,0.4225,0.2145,0.347264,0.0375,0.05,0.616864,0.455782,0.843537,0.897959,0.156463,0.748299,0.197279,0.251701,0.629252,0.85034,0.462585,0.870748,0.904762,0.258503,0.748299,0.197279,0.255102,0.622449,0.809524,0.462585,0.857143,0.690476,0.132653,0.748299,0.197279,0.258503,0.622449,0.843537,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|1|0|0|2|2|0|1|1|0|0"":1}"
Lasker Simul Special,1,A00,1. g3 h5,g2g3 h7h5,0.003,0.995549,0.029,0.4225,0.3575,0.334321,0.05,0.0,0.616776,0.002197,0.996105,0.029,0.4225,0.3575,0.334321,0.0375,0.0,0.616912,0.002197,0.996105,0.029,0.4225,0.3575,0.334321,0.0375,0.0,0.616912,0.034014,0.904762,0.578231,0.091837,0.880952,0.095238,0.251701,0.231293,0.884354,0.034014,0.904762,0.62585,0.146259,0.880952,0.095238,0.255102,0.231293,0.816327,0.020408,0.911565,0.690476,0.132653,0.880952,0.095238,0.258503,0.231293,0.85034,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Latvian Gambit,5,C40,1. e4 e5 2. Nf3 f5 3. Bc4 fxe4 4. Nxe5 Qg5 5. Nf7 Qxg2 6. Rf1 d5 7. Nxh8 Nf6,e2e4 e7e5 g1f3 f7f5 f1c4 f5e4 f3e5 d8g5 e5f7 g5g2 h1f1 d7d5 f7h8 g8f6,0.413061,0.981295,0.103,0.457417,0.2255,0.408387,0.3,0.210625,0.576452,0.33993,0.986252,0.103,0.5005,0.2255,0.408387,0.2875,0.2,0.586289,0.23221,0.986252,0.065,0.414333,0.2255,0.408387,0.2875,0.2,0.573348,0.945578,0.340136,0.959184,0.380952,0.77551,0.789116,0.87415,0.986395,0.244898,0.945578,0.363946,0.972789,0.663265,0.77551,0.789116,0.87415,0.94898,0.244898,0.857143,0.346939,0.969388,0.027211,0.77551,0.789116,0.863946,0.94898,0.176871,0.655459,0.655459,0.655459,0.655459,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":2,""0|0|0|0|0|0|2|2|0|1|1|0|0"":2,""2|0|0|0|0|0|3|2|0|2|1|0|0"":1}"
Latvian Gambit Accepted,5,C40,1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. d4 d6 5. Nc4 fxe4 6. Qh5+ g6 7. Qe2,e2e4 e7e5 g1f3 f7f5 f3e5 d8f6 d2d4 d7d6 e5c4 f5e4 d1h5 g7g6 h5e2,0.341136,0.771986,0.029,0.507,0.4015,0.444256,0.1875,0.035,0.511746,0.388181,0.708631,0.023,0.5395,0.4015,0.444256,0.15,0.1,0.504528,0.166064,0.863787,0.029,0.4745,0.4015,0.444256,0.15,0.1,0.541335,0.870748,0.013605,0.578231,0.741497,0.945578,0.938776,0.591837,0.785714,0.054422,0.979592,0.013605,0.176871,0.853741,0.945578,0.938776,0.605442,0.785714,0.040816,0.721088,0.108844,0.690476,0.5,0.945578,0.938776,0.602041,0.785714,0.108844,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|0|0|1|2|0|0|1|0|0"":1,""0|0|0|0|0|0|2|2|0|1|1|0|0"":3,""0|0|1|0|0|0|2|2|0|1|1|0|0"":1}"
Lemming Defense,1,B00,1. e4 Na6,e2e4 b8a6,0.035212,0.985752,0.029,0.455,0.3575,0.349138,0.05,0.0,0.610671,0.00611,0.989763,0.029,0.4225,0.3575,0.349138,0.0375,0.0,0.615619,0.02611,0.989763,0.025,0.4875,0.3575,0.349138,0.0375,0.0,0.612819,0.326531,0.537415,0.578231,0.346939,0.880952,0.217687,0.251701,0.231293,0.557823,0.244898,0.598639,0.62585,0.146259,0.880952,0.217687,0.255102,0.231293,0.680272,0.353741,0.557823,0.357143,0.571429,0.880952,0.217687,0.258503,0.231293,0.557823,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Lion Defense,5,B00;B07,1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4 e5 5. Nf3 exd4 6. Qxd4 c6 7. Bc4 d5,e2e4 d7d6 d2d4 g8f6 b1c3 b8d7 f2f4 e7e5 g1f3 e5d4 d1d4 c7c6 f1c4 d6d5,0.069439,0.954899,0.06,0.455417,0.2475,0.387153,0.25,0.0,0.6134,0.09253,0.976735,0.051667,0.438833,0.2475,0.387153,0.2125,0.0,0.615474,0.017466,0.943114,0.06,0.472,0.2475,0.387153,0.2125,0.0,0.614664,0.394558,0.238095,0.92517,0.367347,0.802721,0.62585,0.734694,0.231293,0.639456,0.537415,0.285714,0.92517,0.346939,0.802721,0.62585,0.680272,0.231293,0.673469,0.326531,0.183673,0.955782,0.479592,0.802721,0.62585,0.670068,0.231293,0.619048,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1,""0|0|0|0|0|0|2|2|0|1|1|0|0"":1}"
London System,4,A48;D02,1. d4 Nf6 2. Nf3 d5 3. Bf4 c5 4. e3 Qb6 5. Nc3,d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 d8b6 b1c3,0.105917,0.985204,0.023,0.548438,0.11,0.410428,0.1125,0.0,0.616654,0.104706,0.968795,0.023,0.528125,0.11,0.410428,0.1,0.0,0.616476,0.066612,0.995991,0.023,0.56875,0.11,0.410428,0.1,0.0,0.618507,0.489796,0.517007,0.081633,0.870748,0.544218,0.809524,0.527211,0.231293,0.843537,0.578231,0.251701,0.176871,0.843537,0.544218,0.809524,0.547619,0.231293,0.755102,0.47619,0.897959,0.180272,0.911565,0.544218,0.809524,0.55102,0.231293,0.959184,0.405639,0.405639,0.405639,0.405639,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
"London System, with Bd3",1,A48,1. d4 Nf6 2. Nf3 g6 3. Bf4 Bg7 4. e3 d6 5. Bd3,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 d7d6 f1d3,0.034561,0.989168,0.017,0.6175,0.0,0.404562,0.05,0.0,0.613254,0.120512,0.956617,0.017,0.6175,0.0,0.404562,0.0375,0.0,0.598643,0.001719,0.995374,0.017,0.6175,0.0,0.404562,0.0375,0.0,0.618837,0.319728,0.693878,0.003401,0.945578,0.204082,0.761905,0.251701,0.231293,0.62585,0.632653,0.217687,0.034014,0.94898,0.204082,0.761905,0.255102,0.231293,0.333333,0.006803,0.870748,0.020408,0.945578,0.204082,0.761905,0.258503,0.231293,0.986395,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
"London System, with Be2",3,A48,1. d4 Nf6 2. Nf3 g6 3. Bf4 Bg7 4. e3 d6 5. h3 c5 6. Be2,d2d4 g8f6 g1f3 g7g6 c1f4 f8g7 e2e3 d7d6 h2h3 c7c5 f1e2,0.083311,0.989864,0.017,0.68125,0.0,0.41033,0.05,0.0,0.615026,0.123451,0.955851,0.017,0.6175,0.0,0.41033,0.0375,0.0,0.599503,0.054314,0.997241,0.017,0.745,0.0,0.41033,0.0375,0.0,0.6198,0.421769,0.741497,0.003401,0.965986,0.204082,0.802721,0.251701,0.231293,0.687075,0.653061,0.210884,0.034014,0.94898,0.204082,0.802721,0.255102,0.231293,0.346939,0.455782,0.993197,0.020408,0.986395,0.204082,0.802721,0.258503,0.231293,1.0,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3}"
Marienbad System,2,A47,1. d4 Nf6 2. Nf3 b6 3. g3 Bb7 4. Bg2 c5 5. c4 cxd4 6. Qxd4,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 c2c4 c5d4 d1d4,0.211663,0.950112,0.023,0.56875,0.0,0.40908,0.153125,0.02625,0.586118,0.168719,0.969672,0.017,0.6175,0.0,0.40908,0.121875,0.075,0.590129,0.114057,0.952943,0.023,0.52,0.0,0.40908,0.121875,0.075,0.597803,0.70068,0.22449,0.081633,0.904762,0.204082,0.795918,0.564626,0.629252,0.278912,0.721088,0.258503,0.034014,0.94898,0.204082,0.795918,0.564626,0.717687,0.265306,0.598639,0.217687,0.180272,0.768707,0.204082,0.795918,0.564626,0.717687,0.312925,1.0,1.0,1.0,1.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1,""0|0|0|0|0|0|2|2|0|1|1|0|0"":1}"
Mexican Defense,2,A50,1. d4 Nf6 2. c4 Nc6 3. d5 Ne5 4. f4,d2d4 g8f6 c2c4 b8c6 d4d5 c6e5 f2f4,0.394705,0.949944,0.031667,0.460417,0.0,0.370171,0.05,0.019688,0.591333,0.164966,0.974248,0.031667,0.400833,0.0,0.370171,0.0375,0.0375,0.604488,0.331263,0.901148,0.023,0.52,0.0,0.370171,0.0375,0.0375,0.596043,0.92517,0.217687,0.897959,0.401361,0.204082,0.428571,0.251701,0.517007,0.340136,0.707483,0.265306,0.904762,0.020408,0.204082,0.428571,0.255102,0.517007,0.462585,0.972789,0.122449,0.180272,0.768707,0.204082,0.428571,0.258503,0.517007,0.29932,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
Mieses Opening,4,A00,1. d3 c5 2. Nc3 Nc6 3. g3,d2d3 c7c5 b1c3 b8c6 g2g3,0.006852,0.986846,0.029,0.433333,0.089375,0.331141,0.05,0.0,0.616202,0.002919,0.990972,0.029,0.43875,0.089375,0.331141,0.0375,0.0,0.617021,0.014999,0.990554,0.029,0.427917,0.089375,0.331141,0.0375,0.0,0.616651,0.14966,0.585034,0.578231,0.255102,0.52381,0.068027,0.251701,0.231293,0.795918,0.142857,0.687075,0.62585,0.340136,0.52381,0.068027,0.255102,0.231293,0.857143,0.312925,0.62585,0.690476,0.244898,0.52381,0.068027,0.258503,0.231293,0.809524,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4}"
Mikenas Defense,4,A40,1. d4 Nc6 2. c4 e5 3. dxe5 Nxe5 4. Nc3 Nxc4,d2d4 b8c6 c2c4 e7e5 d4e5 c6e5 b1c3 e5c4,0.130803,0.990765,0.029,0.457708,0.268125,0.40428,0.103125,0.00875,0.616915,0.073402,0.993566,0.029,0.427917,0.268125,0.40428,0.084375,0.025,0.617252,0.255902,0.965977,0.025,0.4875,0.268125,0.40428,0.08125,0.025,0.61686,0.612245,0.782313,0.578231,0.387755,0.816327,0.755102,0.510204,0.47619,0.897959,0.503401,0.816327,0.62585,0.285714,0.816327,0.755102,0.517007,0.496599,0.877551,0.904762,0.292517,0.357143,0.571429,0.816327,0.755102,0.52381,0.496599,0.836735,0.405639,0.405639,0.405639,0.405639,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3,""0|0|0|0|0|0|2|2|0|2|1|0|0"":1}"
Modern Defense,5,A04;A40,1. Nf3 g6 2. d4 Bg7 3. e4 d6 4. c4 c5 5. dxc5 Qa5+,g1f3 g7g6 d2d4 f8g7 e2e4 d7d6 c2c4 c7c5 d4c5 d8a5,0.356182,0.974233,0.029,0.494,0.146667,0.399461,0.175,0.06125,0.557578,0.169132,0.983408,0.029,0.485333,0.146667,0.399461,0.25,0.15,0.591138,0.319533,0.983408,0.025667,0.502667,0.146667,0.399461,0.0375,0.15,0.573393,0.884354,0.292517,0.578231,0.62585,0.619048,0.714286,0.581633,0.891156,0.183673,0.744898,0.326531,0.62585,0.598639,0.619048,0.714286,0.731293,0.897959,0.285714,0.959184,0.326531,0.408163,0.62585,0.619048,0.714286,0.258503,0.897959,0.183673,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3,""0|0|1|0|0|0|2|2|0|1|1|0|0"":1,""1|0|1|0|0|0|2|1|0|1|0|0|0"":1}"
Montevideo Defense,1,A40,1. d4 Nc6 2. d5 Nb8,d2d4 b8c6 d4d5 c6b8,0.004364,0.99169,0.029,0.4225,0.0,0.357613,0.05,0.0,0.616577,0.002798,0.99355,0.029,0.4225,0.0,0.357613,0.0375,0.0,0.616843,0.007713,0.99355,0.029,0.4225,0.0,0.357613,0.0375,0.0,0.616007,0.088435,0.802721,0.578231,0.091837,0.204082,0.278912,0.251701,0.231293,0.836735,0.132653,0.809524,0.62585,0.146259,0.204082,0.278912,0.255102,0.231293,0.802721,0.238095,0.795918,0.690476,0.132653,0.204082,0.278912,0.258503,0.231293,0.721088,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Neo-Grünfeld Defense,5,D70;D71;D72,1. d4 Nf6 2. c4 g6 3. g3 d5 4. Bg2 Bg7 5. cxd5 Nxd5 6. e4 Nb6 7. Ne2,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 f1g2 f8g7 c4d5 f6d5 e2e4 d5b6 g1e2,0.404303,0.871272,0.029,0.52975,0.0,0.450182,0.3,0.035,0.535013,0.332911,0.835383,0.029,0.5005,0.0,0.450182,0.2875,0.1,0.547657,0.148851,0.916624,0.023,0.559,0.0,0.450182,0.2875,0.1,0.578257,0.931973,0.108844,0.578231,0.833333,0.204082,0.952381,0.87415,0.785714,0.129252,0.931973,0.061224,0.62585,0.663265,0.204082,0.952381,0.87415,0.785714,0.136054,0.70068,0.142857,0.180272,0.897959,0.204082,0.952381,0.863946,0.785714,0.204082,0.418166,0.418166,0.418166,0.418166,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":3,""0|0|0|0|0|0|2|2|0|1|1|0|0"":2}"
Nimzo-Indian Defense,5,E20,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e4,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e4,0.137,0.943328,0.027667,0.537333,0.386833,0.391141,0.05,0.0,0.595837,0.068147,0.977365,0.027667,0.457167,0.386833,0.391141,0.0375,0.0,0.609255,0.118321,0.838698,0.017,0.6175,0.386833,0.391141,0.0375,0.0,0.599522,0.632653,0.210884,0.255102,0.863946,0.92517,0.659864,0.251701,0.231293,0.380952,0.47619,0.292517,0.346939,0.455782,0.92517,0.659864,0.255102,0.231293,0.52381,0.62585,0.07483,0.020408,0.945578,0.92517,0.659864,0.258503,0.231293,0.346939,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
Nimzo-Larsen Attack,5,A01,1. b3 d5 2. Ba3,b2b3 d7d5 c1a3,0.012,0.990764,0.029,0.429,0.143,0.33196,0.05,0.0,0.615853,0.005186,0.990454,0.029,0.4355,0.143,0.33196,0.0375,0.0,0.616727,0.004842,0.990988,0.029,0.4225,0.143,0.33196,0.0375,0.0,0.616719,0.244898,0.77551,0.578231,0.207483,0.591837,0.07483,0.251701,0.231293,0.782313,0.231293,0.632653,0.62585,0.319728,0.591837,0.07483,0.255102,0.231293,0.795918,0.210884,0.646259,0.690476,0.132653,0.591837,0.07483,0.258503,0.231293,0.823129,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
Nimzowitsch Defense,5,B00,1. e4 Nc6 2. Nc3 Nf6 3. d4 e5,e2e4 b8c6 b1c3 g8f6 d2d4 e7e5,0.023727,0.984939,0.029,0.48425,0.3905,0.330191,0.23125,0.02625,0.614011,0.007891,0.989104,0.029,0.4745,0.3905,0.330191,0.25,0.05,0.615055,0.007891,0.988864,0.025,0.494,0.3905,0.330191,0.15,0.05,0.615655,0.29932,0.493197,0.578231,0.564626,0.931973,0.040816,0.659864,0.629252,0.659864,0.285714,0.564626,0.62585,0.557823,0.931973,0.040816,0.731293,0.622449,0.62585,0.244898,0.513605,0.357143,0.608844,0.931973,0.040816,0.602041,0.622449,0.70068,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":3,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1,""0|0|1|0|0|0|2|2|0|1|1|0|0"":1}"
